Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
BoxerBrain_Learning,0.370,1.617,0.420,275,nan
BoxerBrain_Learning,0.079,2.068,0.337,275,nan
BoxerBrain_Learning,0.080,2.501,0.324,275,nan
BoxerBrain_Learning,0.082,3.169,0.544,275,nan
BoxerBrain_Learning,0.080,3.724,0.426,280,-10.040
BoxerBrain_Learning,0.081,4.176,0.323,275,nan
BoxerBrain_Learning,0.080,4.640,0.333,275,nan
BoxerBrain_Learning,0.076,5.096,0.328,275,nan
BoxerBrain_Learning,0.080,5.560,0.332,275,nan
BoxerBrain_Learning,0.081,6.034,0.343,275,-10.000
BoxerBrain_Learning,0.079,6.493,0.336,275,nan
BoxerBrain_Learning,0.081,6.959,0.334,275,nan
BoxerBrain_Learning,0.077,7.407,0.316,275,nan
BoxerBrain_Learning,0.077,7.865,0.332,275,-10.000
BoxerBrain_Learning,0.082,8.318,0.317,275,nan
BoxerBrain_Learning,0.083,8.779,0.326,275,nan
BoxerBrain_Learning,0.085,9.229,0.311,275,nan
BoxerBrain_Learning,0.080,9.671,0.302,275,nan
BoxerBrain_Learning,0.080,10.134,0.332,275,-10.000
BoxerBrain_Learning,0.079,10.600,0.337,275,nan
BoxerBrain_Learning,0.083,11.044,0.310,275,nan
BoxerBrain_Learning,0.082,11.508,0.334,275,nan
BoxerBrain_Learning,0.082,11.958,0.315,275,-10.000
BoxerBrain_Learning,0.080,12.401,0.315,275,nan
BoxerBrain_Learning,0.082,12.864,0.332,275,nan
BoxerBrain_Learning,0.085,13.336,0.332,275,nan
BoxerBrain_Learning,0.080,13.781,0.310,275,nan
BoxerBrain_Learning,0.090,14.241,0.322,275,-10.000
BoxerBrain_Learning,0.082,14.699,0.326,275,nan
BoxerBrain_Learning,0.079,15.142,0.309,275,nan
BoxerBrain_Learning,0.080,15.611,0.344,275,nan
BoxerBrain_Learning,0.081,16.071,0.318,275,-10.000
BoxerBrain_Learning,0.082,16.523,0.314,275,nan
BoxerBrain_Learning,0.087,16.988,0.324,275,nan
BoxerBrain_Learning,0.081,17.446,0.327,275,nan
BoxerBrain_Learning,0.082,17.906,0.329,275,nan
BoxerBrain_Learning,0.078,18.394,0.348,275,-10.000
BoxerBrain_Learning,0.078,18.842,0.313,275,nan
BoxerBrain_Learning,0.085,19.309,0.327,275,nan
BoxerBrain_Learning,0.077,19.771,0.331,275,nan
BoxerBrain_Learning,0.081,20.237,0.332,275,-10.000
BoxerBrain_Learning,0.086,20.696,0.325,275,nan
BoxerBrain_Learning,0.082,21.148,0.322,275,nan
BoxerBrain_Learning,0.084,21.619,0.334,275,nan
BoxerBrain_Learning,0.077,22.058,0.306,275,nan
BoxerBrain_Learning,0.081,22.518,0.323,275,-10.000
BoxerBrain_Learning,0.083,22.969,0.316,275,nan
BoxerBrain_Learning,0.079,23.414,0.317,275,nan
BoxerBrain_Learning,0.077,23.858,0.318,275,nan
BoxerBrain_Learning,0.080,24.318,0.324,275,-10.000
BoxerBrain_Learning,0.079,24.774,0.324,275,nan
BoxerBrain_Learning,0.084,25.230,0.323,275,nan
BoxerBrain_Learning,0.082,25.683,0.324,275,nan
BoxerBrain_Learning,0.079,26.135,0.327,275,nan
BoxerBrain_Learning,0.080,26.597,0.326,275,-10.000
BoxerBrain_Learning,0.084,27.059,0.324,275,nan
BoxerBrain_Learning,0.088,27.536,0.334,275,nan
BoxerBrain_Learning,0.079,27.984,0.324,275,nan
BoxerBrain_Learning,0.081,28.444,0.327,275,nan
BoxerBrain_Learning,0.076,28.892,0.319,275,-10.000
BoxerBrain_Learning,0.078,29.345,0.325,275,nan
BoxerBrain_Learning,0.078,29.814,0.335,275,nan
BoxerBrain_Learning,0.077,30.255,0.311,275,nan
BoxerBrain_Learning,0.082,30.721,0.330,275,-10.000
BoxerBrain_Learning,0.079,31.165,0.314,275,nan
BoxerBrain_Learning,0.077,31.621,0.328,275,nan
BoxerBrain_Learning,0.082,32.086,0.330,275,nan
BoxerBrain_Learning,0.081,32.536,0.319,275,nan
BoxerBrain_Learning,0.082,32.998,0.333,275,-10.000
BoxerBrain_Learning,0.077,33.447,0.317,275,nan
BoxerBrain_Learning,0.079,33.900,0.322,275,nan
BoxerBrain_Learning,0.080,34.355,0.331,275,nan
BoxerBrain_Learning,0.081,34.850,0.346,275,-10.000
BoxerBrain_Learning,0.080,35.313,0.330,275,nan
BoxerBrain_Learning,0.084,35.770,0.316,275,nan
BoxerBrain_Learning,0.080,36.230,0.326,275,nan
BoxerBrain_Learning,0.083,36.685,0.326,275,nan
BoxerBrain_Learning,0.075,37.129,0.320,275,-10.000
BoxerBrain_Learning,0.080,37.593,0.333,275,nan
BoxerBrain_Learning,0.085,38.074,0.339,275,nan
BoxerBrain_Learning,0.085,38.540,0.334,275,nan
BoxerBrain_Learning,0.083,39.014,0.336,275,-10.000
BoxerBrain_Learning,0.094,39.496,0.332,275,nan
BoxerBrain_Learning,0.083,39.970,0.347,275,nan
BoxerBrain_Learning,0.082,40.440,0.340,275,nan
BoxerBrain_Learning,0.084,40.909,0.329,275,nan
BoxerBrain_Learning,0.078,41.366,0.317,275,-10.000
BoxerBrain_Learning,0.078,41.814,0.319,275,nan
BoxerBrain_Learning,0.080,42.263,0.317,275,nan
BoxerBrain_Learning,0.083,42.732,0.331,275,nan
BoxerBrain_Learning,0.082,43.206,0.335,275,-10.000
BoxerBrain_Learning,0.086,43.657,0.317,275,nan
BoxerBrain_Learning,0.080,44.121,0.340,275,nan
BoxerBrain_Learning,0.079,44.583,0.331,275,nan
BoxerBrain_Learning,0.080,45.025,0.310,275,nan
BoxerBrain_Learning,0.084,45.486,0.327,275,-10.000
BoxerBrain_Learning,0.081,45.954,0.333,275,nan
BoxerBrain_Learning,0.079,46.403,0.320,275,nan
BoxerBrain_Learning,0.082,46.868,0.328,275,nan
BoxerBrain_Learning,0.078,47.330,0.336,275,-10.000
BoxerBrain_Learning,0.076,47.785,0.325,275,nan
BoxerBrain_Learning,0.082,48.254,0.336,275,nan
BoxerBrain_Learning,0.081,48.720,0.332,275,nan
BoxerBrain_Learning,0.082,49.165,0.315,275,nan
BoxerBrain_Learning,0.079,49.627,0.328,275,-10.000
BoxerBrain_Learning,0.084,50.082,0.322,275,nan
BoxerBrain_Learning,0.087,50.564,0.345,275,nan
BoxerBrain_Learning,0.081,51.049,0.352,275,nan
BoxerBrain_Learning,0.085,51.546,0.351,275,nan
BoxerBrain_Learning,0.077,52.005,0.332,275,-10.000
BoxerBrain_Learning,0.079,52.459,0.325,275,nan
BoxerBrain_Learning,0.086,52.921,0.329,275,nan
BoxerBrain_Learning,0.074,53.360,0.318,275,nan
BoxerBrain_Learning,0.084,53.823,0.322,275,-10.000
BoxerBrain_Learning,0.082,54.290,0.330,275,nan
BoxerBrain_Learning,0.081,54.730,0.305,275,nan
BoxerBrain_Learning,0.079,55.199,0.339,275,nan
BoxerBrain_Learning,0.086,55.681,0.343,275,nan
BoxerBrain_Learning,0.079,56.135,0.322,275,-10.000
BoxerBrain_Learning,0.086,56.586,0.312,275,nan
BoxerBrain_Learning,0.083,57.055,0.333,275,nan
BoxerBrain_Learning,0.075,57.498,0.318,275,nan
BoxerBrain_Learning,0.077,57.990,0.356,275,-10.000
BoxerBrain_Learning,0.079,58.442,0.327,275,nan
BoxerBrain_Learning,0.080,58.883,0.309,275,nan
BoxerBrain_Learning,0.080,59.356,0.338,275,nan
BoxerBrain_Learning,0.079,59.822,0.336,275,nan
BoxerBrain_Learning,0.088,60.274,0.315,275,-10.000
BoxerBrain_Learning,0.079,60.728,0.328,275,nan
BoxerBrain_Learning,0.078,61.193,0.338,275,nan
BoxerBrain_Learning,0.078,61.637,0.317,275,nan
BoxerBrain_Learning,0.088,62.103,0.331,275,-10.000
BoxerBrain_Learning,0.077,62.556,0.334,275,nan
BoxerBrain_Learning,0.080,63.020,0.332,275,nan
BoxerBrain_Learning,0.078,63.507,0.351,275,nan
BoxerBrain_Learning,0.088,64.018,0.373,275,nan
BoxerBrain_Learning,0.078,64.503,0.348,275,-10.000
BoxerBrain_Learning,0.076,64.960,0.324,275,nan
BoxerBrain_Learning,0.076,65.403,0.313,275,nan
BoxerBrain_Learning,0.082,65.853,0.313,275,nan
BoxerBrain_Learning,0.085,66.323,0.334,275,-10.000
BoxerBrain_Learning,0.083,66.788,0.326,275,nan
BoxerBrain_Learning,0.080,67.239,0.318,275,nan
BoxerBrain_Learning,0.081,67.701,0.331,275,nan
BoxerBrain_Learning,0.081,68.204,0.353,275,nan
BoxerBrain_Learning,0.076,68.654,0.327,275,-10.000
BoxerBrain_Learning,0.081,69.106,0.321,275,nan
BoxerBrain_Learning,0.084,69.568,0.328,275,nan
BoxerBrain_Learning,0.078,70.008,0.315,275,nan
BoxerBrain_Learning,0.078,70.458,0.322,275,-10.000
BoxerBrain_Learning,0.083,71.045,0.446,275,nan
BoxerBrain_Learning,0.083,71.527,0.351,275,nan
BoxerBrain_Learning,0.100,72.046,0.366,275,nan
BoxerBrain_Learning,0.082,72.535,0.354,275,nan
BoxerBrain_Learning,0.079,73.008,0.339,275,-10.000
BoxerBrain_Learning,0.084,73.487,0.341,275,nan
BoxerBrain_Learning,0.083,73.955,0.334,275,nan
BoxerBrain_Learning,0.084,74.423,0.330,275,nan
BoxerBrain_Learning,0.078,74.898,0.347,275,nan
BoxerBrain_Learning,0.078,75.369,0.336,275,-10.000
BoxerBrain_Learning,0.077,75.837,0.335,275,nan
BoxerBrain_Learning,0.083,76.301,0.324,275,nan
BoxerBrain_Learning,0.084,76.789,0.353,275,nan
BoxerBrain_Learning,0.087,77.286,0.357,275,-10.000
BoxerBrain_Learning,0.086,77.768,0.338,275,nan
BoxerBrain_Learning,0.086,78.645,0.732,275,nan
BoxerBrain_Learning,0.091,79.242,0.425,275,nan
BoxerBrain_Learning,0.108,79.987,0.582,275,nan
BoxerBrain_Learning,0.083,80.577,0.445,275,-10.000
